"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMYD1",11.8365383430098,1.97640612220952,0.664734559963398,2.97322606833974,0.00294687317153498,0.0298646701534435
"WNT6",34.3080158626431,-2.30894954053828,0.603485939321356,-3.82602044238974,0.000130231479897885,0.00362347387569216
"IL18RAP",2.36203532960715,4.1459947470131,1.35094092309488,3.06896821033077,0.00214799446717029,0.0239856987524688
"PAIP2B",3194.08486873304,1.94077620149217,0.659797435496056,2.94147278707295,0.00326655542730938,0.0315760719765506
"MPHOSPH10",319.299093496838,1.51928145910487,0.331138189526803,4.58805872338652,4.47386804736518e-06,0.000346785862603784
"SRRM1",945.397024372469,1.63082905732395,0.260538036219468,6.25946629900211,3.86297200684104e-10,3.39412919380023e-07
"DOCK10",313.908622377125,1.53646067040054,0.368042767473823,4.17467970080356,2.98405594526579e-05,0.00124539574875668
"ANKRD36",131.997454873469,2.12437006876955,0.411459757971198,5.16300811346478,2.43012602610359e-07,4.50761376441926e-05
"TRIM54",29.3934338925931,2.30372719510155,0.700572380507867,3.28835001093179,0.00100776466163528,0.0144274329123493
"FAM163A",28.2841182253966,-1.79557809223986,0.564776865214395,-3.17926990787457,0.00147646538073976,0.0190186057608562
"LYG1",25.4002487484346,2.15327126983206,0.606744263989182,3.54889431615698,0.000386852309677324,0.00760672845436189
"PLA2R1",245.277644278137,1.9383267138376,0.533668115494792,3.63208267003261,0.000281143018333031,0.00605514940530437
"FLACC1",13.9453942090024,1.94603728218225,0.658564546390568,2.95496818474059,0.00312701295813191,0.0308216883373464
"EN1",6.37432474235227,4.02289492107373,1.19938443686914,3.35413300140449,0.000796140854824339,0.0123520217754996
"ANKRD23",28.8110287558854,3.00387685958803,0.632674590646567,4.74790185033066,2.05537730792555e-06,0.000206701619147646
"CXCR1",5.43536035170165,-4.53042961922229,1.62982523170184,-2.77970271357972,0.00544086829213534,0.0447658231980815
"FEV",8.93294143911635,-2.46391329669852,0.744342118076089,-3.31018927568821,0.000932329027987568,0.01374938232617
"NPR1",42.6261777147642,-1.96214318662933,0.529807908773467,-3.7034992383783,0.000212645820113241,0.00500203795463926
"SLC38A11",47.9407275165095,1.69540066624686,0.457791323186602,3.7034355619619,0.000212699227165459,0.00500203795463926
"ANKRD36C",111.995003195726,1.5613235898454,0.412518321548332,3.78485877666035,0.000153795888166762,0.00400541116545385
"TTC32",242.783668433715,1.50812145580486,0.28597367879896,5.27363728766477,1.33746117445266e-07,2.84448551772629e-05
"SLC4A5",18.8193222407483,2.57937050060337,0.734993987240233,3.50937632876213,0.000449158887123979,0.00832215145576882
"PRELP",551.845581615898,-1.64880222575894,0.465333333692065,-3.54327125606274,0.00039519598352645,0.00767629741898465
"SULT1C2",4.62440876580989,4.11261906364892,1.33789454332873,3.07394860391355,0.00211245822115647,0.0238118686995179
"FCGR3A",371.94386232784,1.67268968263766,0.600314869247705,2.78635390913075,0.00533046392512844,0.0440965137592142
"SP5",28.7742525267099,-1.7676638023876,0.615037564411378,-2.87407453572261,0.00405213321043975,0.036349442135992
