"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SRSF4",1355.48503531822,0.217339027237006,0.182442274131604,1.19127558714944,0.233545414461562,0.481156009998928
"MECR",412.919320159584,-0.430228633263666,0.298407652696093,-1.44174798929109,0.149373480195186,0.373579157809504
"KCNC4",1227.22730903353,-0.546340088967561,0.201680784784028,-2.70893476318339,0.00674996105492173,0.0518802255298634
"EDEM3",790.331153718863,0.649081663704482,0.220728440233489,2.94063448741755,0.0032754078063704,0.0316128225635024
"WDR77",223.571229930358,-0.222575983288156,0.163818439211369,-1.3586747887457,0.174249664450104,0.408587510043187
"ATP5PB",1967.10880337416,-0.367187649493216,0.205228565916897,-1.78916442675871,0.0735883388232188,0.245353251111407
"RAP1A",1562.14839191194,-0.0730331818286735,0.242965747718727,-0.3005904433625,0.763726819725762,0.889030112002261
"HDAC1",426.622685282439,0.22648494526473,0.368521536182867,0.614577230982627,0.538833954971209,0.748858978046067
"CAPZA1",1089.27955290341,0.416920691976259,0.140667511558207,2.96387337316152,0.00303793268012641,0.0304561408324474
"S100PBP",535.412079813645,0.283544555916194,0.180909911037228,1.56732461085477,0.117038835607386,0.323216926655039
"RNF19B",324.144408359005,-0.443989482700324,0.280255090996637,-1.58423342506078,0.113140609542358,0.316748169662943
"SCAMP3",1040.83552689652,-0.759230947450733,0.209362985713575,-3.62638574752378,0.000287415901176623,0.00614578742018391
"TRIM62",286.554993913605,-0.504090978053753,0.223260187237763,-2.25786327732904,0.0239541847123041,0.120231857963682
"ASH1L",1427.934288909,0.611312512780646,0.264006170924324,2.31552357522687,0.0205842958925696,0.109682169049013
"DLGAP3",2130.78525373043,-0.696910251415575,0.257816972513655,-2.70312014225,0.00686919126251018,0.0523866052701439
"SFPQ",3755.4013049662,0.518251348273176,0.232053872076968,2.23332342457652,0.0255276238708547,0.125784578778055
"RHOU",1062.24080266351,0.155353678821661,0.426817024766462,0.363981916856912,0.71587151281616,0.862621555864947
"GON4L",258.098348460306,0.392844438512542,0.26133576740691,1.503217268767,0.132783025828316,0.348973525374356
"ARHGEF2",1964.54992586938,-0.214001041382392,0.169088443032485,-1.26561601458048,0.205650589728992,0.448365018275538
"LAMTOR2",604.212478702165,-0.25255068001655,0.213183212481282,-1.18466495122699,0.236149945333235,0.483775578278688
"MEF2D",2051.34189927804,-0.856422642472196,0.234965427669359,-3.64488789251729,0.000267508385817323,0.00584817539836942
"SRM",1538.55109659013,-0.80791563807115,0.306448231652457,-2.6363853813567,0.00837945037974724,0.0594397905174812
"FBXO2",8949.58464819602,-0.32638052270756,0.201083818034321,-1.62310685115325,0.104566565305632,0.301021310687837
"FBXO6",71.3582746636327,-0.25511178456955,0.265138275553232,-0.96218391719279,0.335957226402841,0.587006897737169
"C1orf21",1725.80096267898,0.371887778033247,0.235856894476429,1.57675177933123,0.114852650999971,0.319878237536456
